Library Reference,Designator,Footprint,Quantity,Comment,Description

"CMP-001-0000-9";"R8, R9, R10, R18, R20, R22, R23, R25, R29, R31, R39, R41, R42, R56, R59, R62";"SMD_0402(1005)_M";"16";"RC0402FR-071KL";"Surface Mount Chip Resistor, Thick Film, RC Series, 1 kohm, 62.5 mW, 1%, 50 V, 0402 [1005 Metric]"
"CMP-0001-00006-6";"R12, R40, R44, R45, R64";"SMD_0402(1005)_M";"5";"RC0402FR-07100KL";"Res General Purpose Thick Film 0402 100K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"
"CMP-0001-00017-5";"R13, R15";"RESC0402(1005)_N";"2";"RC0402FR-0724RL";"Thick Film Resistors 24 OHM 1%"
"CMP-001-0025-3";"R16, R30";"SMD_0402(1005)_M";"2";"RC0402FR-072K7L";"Res General Purpose Thick Film 0402 2.7k Ohm 1% 1/16W ±100ppm/°C Molded Paper T/R"
"CMP-001-0030-1";"R28";"RESC1005X40X25NL05T10";"1";"RC0402FR-072KL";"Res General Purpose Thick Film 0402 2K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"
"CMP-0001-00007-5";"R43";"SMD_0402(1005)_M";"1";"RC0402FR-0710RL";"RES SMD 10 OHM 1% 1/16W 0402"
"CMP-0001-00003-5";"R54";"Chip2PinSM127P600-8N";"1";"ERJ8BSFR10V";"Precision resistor, SMD 0.1 Ohm 0.33 W  ±  1 % 1206, ERJ8BSFR10V, Panasonic Automotive & Industrial Systems"
"CMP-001-0028-2";"R67";"SMD_0402(1005)_M";"1";"RC0402FR-07470KL";"Res Thick Film 0402 470K Ohm 1% 1/16W +/-100ppm/ßC Molded SMD Paper T/R"
"CMP-ROOT-00020-2";"SW3";"CKCP-PTS645S_V";"1";"PTS645SM43SMTR92LFS";""
"CMP-ROOT-00012-4";"SW4, SW6";"BOUR-PEC11R-4XXXF-SXXXX_V";"2";"PEC11R-4215F-S0024";"BOURNS - PEC11R-4215F-S0024 - Rotary Encoder, Mechanical, Incremental, 24 PPR, 24 Detents, Vertical, With Momentary Push Switch"
"CMP-ROOT-00037-2";"SW5";"FP-1825027-8-MFG";"1";"1825027-8";"Switch Tactile OFF (ON) SPST Round Button PC Pins 0.05A 24VDC 1.57N Thru-Hole Loose Piece"
"CMP-ROOT-00039-9";"U1";"rp2040-Footprint-1";"1";"SC0914(13)";"ARM® Cortex®-M0+ series Microcontroller IC 32-Bit Dual-Core 133MHz - External Program Memory 56-QFN (7x7)"
"CMP-ROOT-0004-3";"U4, U5, U6";"DBV0005A_N";"3";"TSB711AIYLT";"Op Amp Single Precision Amplifier R-R I/O ±18V/36V Automotive 5-Pin SOT-23 T/R"
"CMP-ROOT-00032-7";"U9";"FP-DDF0008A-IPC_C";"1";"INA186A1IDDFR";"40V, bi-directional, high-precision current sense amplifier w/ picoamp IB & ENABLE 8-SOT-23-THIN -40 to 125"
"CMP-006-0003-5";"U11";"SOT-23-OT5_M";"1";"MCP73832T-2ACI/OT";"BATTERY CHARGER, 500mA, SOT23-5; Battery Type:Li-Ion, Li-Pol; Input Voltage:6V; Battery Charge Voltage:4.2V; Charge Current Max:500mA; Battery IC Case Style:SOT-23; No. of Pins:5; No. of Series Cells:1; Operating Temperature Max:85 C"
"CMP-00004-2";"U12";"FP-DBV0005A-IPC_A";"1";"TLV74333PDBVR";"300mA Low-Dropout (LDO) Regulator 5-SOT-23 -40 to 125"
"CMP-ROOT-00046-2";"X1";"FP-FL1200112-MFG";"1";"FL1200112";"Crystal 12MHz ±30ppm (Tol) ±30ppm (Stability) 18pF FUND 80Ohm 4-Pin SMD T/R"
